group,advertiser,landing,date,spend,hvu,cphq
组35 15 Ideas,CHJ,/multisensory/forbidden-fruit/4424-architecture-of-surrender-15-ideas-for-safe-sensual-self-bondage?page=2,2026-05-12,0.00,1,0.00
组38 CRAVE AI,CHJ,/ai-sex-toys,2026-05-12,0.00,1,0.00
组41 Most positions,CHJ,/multisensory/most-positions,2026-05-12,0.00,2,0.00
组43 hands-free,CHJ,https://www.creviatech.com/multisensory/roleplay/4764-hands-free-orgasms-exploring-deep-pleasure-body-awareness-and?page=1,2026-05-12,0.00,1,0.00
组52 掌握眼神,HNN,https://www.creviatech.com/multisensory/sensory-immersion/4494-architecture-of-gaze-mastering-eye-contact-for-deep-intimacy?page=2,2026-05-12,0.00,1,0.00
组53 （Piledriver Position）,CHJ,https://www.creviatech.com/multisensory/power-dynamics/3925-apex-of-depth-mastering-piledriver-position-power-dynamics?page=3,2026-05-12,0.00,1,0.00
组58（弯棒）,HNN,https://www.creviatech.com/ai-sex-toys/1181026-twin-pact,2026-05-12,7.81,2,3.90
组59（肛塞,HNN,https://www.creviatech.com/ai-sex-toys/1181029-trembling-secret,2026-05-12,3.24,2,1.62
组60（直棒）,HZM,https://www.creviatech.com/ai-sex-toys/1181025-shenyong,2026-05-12,0.00,8,0.00
组61（恶霸）,HNN,/ja/exp-app/scene/1967491630842826754?from=theater-more-stories,2026-05-12,7.99,0,0
组62（教练）,HNN,https://www.creviatech.com/exp-app/scene/2023384913003253761?from=search&q=Coach%27s+Private+Session%3A+Part+Two&utm_source=facebook&utm_medium=paid&utm_campaign=260507_hnn_facebook_741e61fb&utm_content=HnN219,2026-05-12,12.02,0,0
组63（漫男）,HNN,https://www.creviatech.com/exp-app/scene/2049760273118638081?from=theater-more-stories&utm_source=facebook&utm_medium=paid&utm_campaign=260507_hnn_facebook_11c5ec0d&utm_content=HnN219,2026-05-12,9.42,1,9.42
组64（黎深）,HZM,https://www.creviatech.com/exp-app/scene/2049744772917211137?from=theater-more-stories&utm_source=facebook&utm_medium=paid&utm_campaign=260508_hzm_facebook_ef4cb460&utm_content=Mm0818,2026-05-12,14.74,3,4.91
组65（沈星回）,HZM,https://www.creviatech.com/exp-app/scene/2049760273118638081?from=theater-more-stories&utm_source=facebook&utm_medium=paid&utm_campaign=260508_hzm_facebook_5886c2d8&utm_content=Mm0818,2026-05-12,20.38,10,2.04
组66 （躺椅）,HNN,https://www.creviatech.com/exp-app/scene/2046083147751297026?from=search&q=sunlit&utm_source=facebook&utm_medium=paid&utm_campaign=260508_hnn_facebook_812309e8&utm_content=HnN219,2026-05-12,8.59,5,1.72
